dmgTh,q,Ga,criteria,tC,acc
0.01,136.07,2.7093750000000008e-15,median,14.025,0.5765365319679233
0.01,136.07,2.7093750000000008e-15,mean,14.057,0.5747697475156265
0.02,153.13,5.271875000000002e-15,median,14.3,0.5708821085886049
0.02,127.55,2.0828125e-15,mean,14.0063,0.5628554517156172
0.03,131.81,2.36640625e-15,median,14.0938,0.5588669046150335
0.03,131.81,2.36640625e-15,mean,14.0227,0.5587659964414715
0.04,136.07,2.7093750000000008e-15,median,13.75,0.5557369684046881
0.04,136.07,2.7093750000000008e-15,mean,13.5951,0.5557369684046881
0.05,131.81,2.36640625e-15,median,13.75,0.5527079403679048
0.05,131.81,2.36640625e-15,mean,13.875,0.550941155915608
0.06,136.07,2.7093750000000008e-15,median,13.75,0.552909756715029
0.06,127.55,2.0828125e-15,mean,13.5846,0.5478112197052626
0.07,136.07,2.7093750000000008e-15,median,14.3,0.5450849161891654
0.07,131.81,2.36640625e-15,mean,13.9827,0.5433181317368686
0.08,131.81,2.36640625e-15,median,13.475,0.5417531636316959
0.08,131.81,2.36640625e-15,mean,13.6089,0.5417531636316959
0.09,136.07,2.7093750000000008e-15,median,14.025,0.5422577044995062
0.09,123.28,1.8453125e-15,mean,13.626,0.5373609838368639
0.1,131.81,2.36640625e-15,median,13.2888,0.535392383037443
0.1,131.81,2.36640625e-15,mean,13.7709,0.5320606304799734
