q,dmgTh,Ga,criteria,tC,acc
110.48,0.04,1.319921875e-15,median,12.3063,0.5542729084730775
110.48,0.05,1.319921875e-15,mean,12.276,0.5512438804362941
114.75,0.04,1.4703125e-15,median,12.6844,0.5544747248202017
114.75,0.04,1.4703125e-15,mean,12.6775,0.5544747248202017
119.01,0.09,1.643359375e-15,median,13.0625,0.5354932912110051
119.01,0.09,1.643359375e-15,mean,13.0427,0.5354932912110051
123.28,0.07,1.8453125e-15,median,13.3719,0.5450849161891654
123.28,0.07,1.8453125e-15,mean,13.3994,0.5452867325362895
127.55,0.06,2.0828125e-15,median,13.6641,0.5461453434265278
127.55,0.06,2.0828125e-15,mean,13.6198,0.5479121278788246
131.81,0.07,2.36640625e-15,median,13.8875,0.5432172235633065
131.81,0.07,2.36640625e-15,mean,13.8975,0.5432172235633065
136.07,0.1,2.7093750000000008e-15,median,14.3,0.5406927363943335
136.07,0.1,2.7093750000000008e-15,mean,14.245,0.5406927363943335
140.35,0.1,3.1343750000000008e-15,median,14.1969,0.5355941993845671
140.35,0.1,3.1343750000000008e-15,mean,14.3462,0.5355941993845671
144.6,0.1,3.665625000000001e-15,median,14.5922,0.5404909200472093
144.6,0.03,3.665625000000001e-15,mean,14.6438,0.5583623637472233
148.87,0.1,4.3562500000000005e-15,median,15.1594,0.5388250437684746
148.87,0.1,4.3562500000000005e-15,mean,15.0563,0.5388250437684746
153.13,0.09,5.271875000000002e-15,median,14.5578,0.5404909200472093
153.13,0.01,5.271875000000002e-15,mean,14.738,0.5829982207357383
