dmgTh,q,Ga,criteria,tC,acc
0.01,154.53,6.190625000000002e-15,median,13.0281,0.7241030607310105
0.01,149.54,5.281250000000001e-15,mean,12.8622,0.7180267838586107
0.02,159.56,7.312500000000004e-15,median,13.0625,0.6742518621788649
0.02,144.54,4.534375000000002e-15,mean,12.7883,0.6610181210937861
0.03,159.56,7.312500000000004e-15,median,13.0625,0.6347649065764893
0.03,149.54,5.281250000000001e-15,mean,12.9151,0.6262504808962096
0.04,164.54,8.668750000000003e-15,median,13.0763,0.6132324144748452
0.04,149.54,5.281250000000001e-15,mean,12.8451,0.6123669017982805
0.05,179.54,1.4625000000000007e-14,median,13.0625,0.6008627790554777
0.05,144.54,4.534375000000002e-15,mean,12.8625,0.5960451738924715
0.06,129.53,2.9804687500000003e-15,median,13.2,0.5903019565892931
0.06,164.54,8.668750000000003e-15,mean,13.475,0.5917381126678011
0.07,164.54,8.668750000000003e-15,median,13.2,0.5902623592838395
0.07,164.54,8.668750000000003e-15,mean,13.0266,0.5898692002510108
0.08,154.53,6.190625000000002e-15,median,13.2,0.5865846339138661
0.08,154.53,6.190625000000002e-15,mean,13.0984,0.5863880543974516
0.09,149.54,5.281250000000001e-15,median,13.75,0.5776565470426038
0.09,159.56,7.312500000000004e-15,mean,13.4508,0.5819827034145741
0.1,159.56,7.312500000000004e-15,median,13.0625,0.5828864063857389
0.1,159.56,7.312500000000004e-15,mean,12.9094,0.582984696143946
