0,1,2,3
0,-103.1552734375,-95.4091796875,502.6000061035156
1,-103.1552734375,-95.4091796875,503.1000061035156
2,-103.1552734375,-95.4091796875,503.6000061035156
3,-102.3369140625,-94.5908203125,504.1000061035156
4,-102.3369140625,-93.7724609375,504.6000061035156
5,-102.3369140625,-93.7724609375,505.1000061035156
6,-101.5185546875,-92.9541015625,505.6000061035156
7,-101.5185546875,-92.9541015625,506.1000061035156
8,-101.5185546875,-92.1357421875,506.6000061035156
9,-101.5185546875,-92.1357421875,507.1000061035156
10,-101.5185546875,-91.3173828125,508.1000061035156
11,-100.7001953125,-92.1357421875,507.6000061035156
12,-100.7001953125,-91.3173828125,508.6000061035156
13,-100.7001953125,-90.4990234375,509.1000061035156
14,-99.8818359375,-92.9541015625,512.6000061035156
15,-99.8818359375,-92.9541015625,513.1000061035156
16,-99.8818359375,-92.1357421875,512.1000061035156
17,-99.8818359375,-91.3173828125,510.6000061035156
18,-99.8818359375,-91.3173828125,511.6000061035156
19,-99.8818359375,-90.4990234375,509.6000061035156
20,-99.8818359375,-90.4990234375,510.1000061035156
21,-99.8818359375,-90.4990234375,511.6000061035156
22,-99.8818359375,-89.6806640625,510.1000061035156
23,-99.0634765625,-92.1357421875,511.1000061035156
24,-99.0634765625,-89.6806640625,511.1000061035156
25,-99.0634765625,-88.8623046875,510.6000061035156
26,-99.0634765625,-88.0439453125,511.1000061035156
27,-98.2451171875,-87.2255859375,510.6000061035156
28,-98.2451171875,-87.2255859375,511.6000061035156
29,-98.2451171875,-86.4072265625,504.1000061035156
30,-98.2451171875,-86.4072265625,504.6000061035156
31,-98.2451171875,-86.4072265625,505.1000061035156
32,-98.2451171875,-86.4072265625,512.1000061035156
33,-98.2451171875,-86.4072265625,512.6000061035156
34,-98.2451171875,-85.5888671875,506.1000061035156
35,-97.4267578125,-86.4072265625,505.6000061035156
36,-97.4267578125,-86.4072265625,510.1000061035156
37,-97.4267578125,-86.4072265625,513.1000061035156
38,-97.4267578125,-86.4072265625,513.6000061035156
39,-97.4267578125,-85.5888671875,506.6000061035156
40,-97.4267578125,-85.5888671875,507.1000061035156
41,-96.6083984375,-86.4072265625,514.1000061035156
42,-96.6083984375,-85.5888671875,507.6000061035156
43,-96.6083984375,-85.5888671875,509.6000061035156
44,-95.7900390625,-86.4072265625,514.6000061035156
45,-95.7900390625,-85.5888671875,508.1000061035156
46,-95.7900390625,-85.5888671875,508.6000061035156
47,-95.7900390625,-85.5888671875,509.1000061035156
48,-94.9716796875,-86.4072265625,515.1000061035156
49,-94.9716796875,-84.7705078125,509.6000061035156
50,-94.1533203125,-86.4072265625,515.6000061035156
51,-94.1533203125,-83.9521484375,510.1000061035156
52,-93.3349609375,-85.5888671875,516.1000061035156
53,-93.3349609375,-83.1337890625,510.6000061035156
54,-93.3349609375,-83.1337890625,511.1000061035156
55,-92.5166015625,-85.5888671875,516.1000061035156
56,-92.5166015625,-82.3154296875,511.6000061035156
57,-91.6982421875,-84.7705078125,516.1000061035156
58,-91.6982421875,-82.3154296875,512.1000061035156
59,-91.6982421875,-61.8564453125,539.1000061035156
60,-91.6982421875,-61.8564453125,539.6000061035156
61,-91.6982421875,-61.8564453125,540.1000061035156
62,-91.6982421875,-61.0380859375,537.1000061035156
63,-90.8798828125,-92.9541015625,535.1000061035156
64,-90.8798828125,-92.9541015625,535.6000061035156
65,-90.8798828125,-83.9521484375,516.1000061035156
66,-90.8798828125,-82.3154296875,512.1000061035156
67,-90.8798828125,-61.0380859375,537.6000061035156
68,-90.8798828125,-61.0380859375,538.1000061035156
69,-90.8798828125,-61.0380859375,538.6000061035156
