q,dmgTh,Ga,criteria,tC,acc
205.74,0.01,1.2731250000000003e-14,median,11.55,0.6564793088188376
205.74,0.04,1.2731250000000003e-14,mean,11.9763,0.6636062140438626
210.15,0.09,1.4987500000000006e-14,median,12.7875,0.6587267282101948
210.15,0.04,1.4987500000000006e-14,mean,13.2413,0.6641105004785575
214.59,0.06,1.7937500000000012e-14,median,13.5438,0.6607734621836632
214.59,0.06,1.7937500000000012e-14,mean,13.5591,0.6607734621836632
219.01,0.09,2.1875000000000014e-14,median,13.75,0.6587267282101948
219.01,0.09,2.1875000000000014e-14,mean,13.7819,0.6587267282101948
223.45,0.03,2.742500000000001e-14,median,13.475,0.6620933547397779
223.45,0.08,2.742500000000001e-14,mean,13.5541,0.6588527998188686
227.86,0.1,3.5650000000000036e-14,median,15.3484,0.6538768306112157
227.86,0.05,3.5650000000000036e-14,mean,15.6372,0.6629462677658052
232.29,0.05,4.900000000000005e-14,median,15.675,0.6624419813311103
232.29,0.09,4.900000000000005e-14,mean,15.7781,0.653750759002542
236.72,0.03,7.370000000000005e-14,median,16.0875,0.6655268764086573
236.72,0.03,7.370000000000005e-14,mean,16.4175,0.6657790196260047
241.14,0.09,1.313000000000001e-13,median,15.8813,0.6563017794107053
241.14,0.09,1.313000000000001e-13,mean,16.1253,0.6563017794107053
245.58,0.1,3.6030000000000034e-13,median,15.3313,0.6538768306112157
245.58,0.05,3.6030000000000034e-13,mean,15.6269,0.6629462677658052
249.77,0.06,2.684354750000002e-08,median,13.3375,0.665245144956621
249.77,0.04,2.684354750000002e-08,mean,14.9239,0.6647408585219261
