0,1,2,3
0,-68.7470703125,-126.0107421875,493.5
1,-68.7470703125,-125.1611328125,494.0
2,-68.7470703125,-125.1611328125,494.5
3,-68.7470703125,-124.3115234375,495.0
4,-68.7470703125,-123.4619140625,495.5
5,-68.7470703125,-122.6123046875,496.0
6,-68.7470703125,-122.6123046875,496.5
7,-68.7470703125,-121.7626953125,497.0
8,-68.7470703125,-120.9130859375,497.0
9,-68.7470703125,-120.0634765625,497.0
10,-68.7470703125,-119.2138671875,497.5
11,-68.7470703125,-118.3642578125,498.0
12,-68.7470703125,-86.9287109375,497.0
13,-68.7470703125,-86.0791015625,496.0
14,-68.7470703125,-86.0791015625,496.5
15,-68.7470703125,-86.0791015625,497.5
16,-67.8974609375,-130.2587890625,489.5
17,-67.8974609375,-129.4091796875,490.0
18,-67.8974609375,-129.4091796875,490.5
19,-67.8974609375,-128.5595703125,491.0
20,-67.8974609375,-128.5595703125,491.5
21,-67.8974609375,-127.7099609375,492.0
22,-67.8974609375,-126.8603515625,492.5
23,-67.8974609375,-126.0107421875,493.0
24,-67.8974609375,-114.1162109375,507.0
25,-67.8974609375,-114.1162109375,507.5
26,-67.8974609375,-90.3271484375,500.5
27,-67.8974609375,-86.9287109375,498.0
28,-67.8974609375,-86.9287109375,498.5
29,-67.0478515625,-134.5068359375,486.0
30,-67.0478515625,-133.6572265625,486.5
31,-67.0478515625,-132.8076171875,487.0
32,-67.0478515625,-131.9580078125,487.5
33,-67.0478515625,-131.1083984375,488.0
34,-67.0478515625,-131.1083984375,488.5
35,-67.0478515625,-130.2587890625,489.0
36,-67.0478515625,-114.9658203125,508.0
37,-67.0478515625,-114.9658203125,508.5
38,-67.0478515625,-114.9658203125,509.0
39,-67.0478515625,-89.4775390625,501.0
40,-67.0478515625,-88.6279296875,501.5
41,-67.0478515625,-88.6279296875,502.0
42,-67.0478515625,-87.7783203125,501.0
43,-67.0478515625,-86.9287109375,499.5
44,-67.0478515625,-86.9287109375,500.0
45,-67.0478515625,-86.9287109375,500.5
46,-67.0478515625,-86.0791015625,499.0
47,-67.0478515625,-85.2294921875,499.0
48,-66.1982421875,-136.2060546875,485.0
49,-66.1982421875,-135.3564453125,485.5
50,-66.1982421875,-116.6650390625,452.0
51,-66.1982421875,-115.8154296875,509.5
52,-66.1982421875,-86.9287109375,501.0
53,-66.1982421875,-84.3798828125,498.5
54,-65.3486328125,-137.0556640625,484.5
55,-65.3486328125,-119.2138671875,513.5
56,-65.3486328125,-118.3642578125,512.0
57,-65.3486328125,-118.3642578125,514.0
58,-65.3486328125,-117.5146484375,450.0
59,-65.3486328125,-117.5146484375,450.5
60,-65.3486328125,-117.5146484375,451.0
61,-65.3486328125,-117.5146484375,451.5
62,-65.3486328125,-117.5146484375,511.5
63,-65.3486328125,-116.6650390625,510.5
64,-65.3486328125,-116.6650390625,511.0
65,-65.3486328125,-115.8154296875,452.5
66,-65.3486328125,-115.8154296875,510.0
67,-65.3486328125,-114.9658203125,453.0
68,-65.3486328125,-113.2666015625,452.0
69,-65.3486328125,-112.4169921875,450.5
70,-65.3486328125,-112.4169921875,451.0
71,-65.3486328125,-111.5673828125,450.0
72,-65.3486328125,-86.9287109375,501.5
73,-65.3486328125,-83.5302734375,498.5
74,-65.3486328125,-82.6806640625,498.0
75,-65.3486328125,-81.8310546875,498.0
76,-64.4990234375,-137.0556640625,484.5
77,-64.4990234375,-120.0634765625,513.0
78,-64.4990234375,-119.2138671875,456.0
79,-64.4990234375,-119.2138671875,512.5
80,-64.4990234375,-118.3642578125,455.5
81,-64.4990234375,-118.3642578125,514.5
82,-64.4990234375,-118.3642578125,515.0
83,-64.4990234375,-117.5146484375,455.0
84,-64.4990234375,-116.6650390625,454.5
85,-64.4990234375,-115.8154296875,454.0
86,-64.4990234375,-114.9658203125,453.5
87,-64.4990234375,-114.1162109375,452.5
88,-64.4990234375,-113.2666015625,451.5
89,-64.4990234375,-111.5673828125,449.5
90,-64.4990234375,-110.7177734375,449.0
